  NODES_PER_ELEMENT
   1 9
   2 9
   3 9
   4 9
   5 9
   6 9
   7 9
   8 9
   9 9
   10 9
   11 9
   12 9
   13 9
   14 9
   15 9
   16 9
   17 9
   18 9
   19 9
   20 9
   21 9
   22 9
   23 9
   24 9
   25 9
   26 9
   27 9
   28 9
   29 9
   30 9
   31 9
   32 9
   33 9
   34 9
   35 9
   36 9
   37 9
   38 9
   39 9
   40 9
   41 9
   42 9
   43 9
   44 9
   45 9
   46 9
   47 9
   48 9
   49 9
   50 9
   51 9
   52 9
   53 9
   54 9
   55 9
   56 9
   57 9
   58 9
   59 9
   60 9
  END_NODES_PER_ELEMENT
  ELEMENTS
   40   7.166667e+00 -2.500000e+00   
   41   6.250000e+00 -3.500000e+00   
   42   8.083333e+00 -2.000000e+00   
   43   5.791667e+00 -5.000000e+00   
   44   5.791667e+00 -4.500000e+00   
   45   7.625000e+00 -2.000000e+00   
   46   5.791667e+00 -4.000000e+00   
   47   6.708333e+00 -2.500000e+00   
   48   6.250000e+00 -3.000000e+00   
   49   9.000000e+00 -1.500000e+00   
   50   7.166667e+00 -2.000000e+00   
   51   8.541667e+00 -1.500000e+00   
   52   5.791667e+00 -3.500000e+00   
   53   8.083333e+00 -1.500000e+00   
   54   5.333333e+00 -5.000000e+00   
   55   5.333333e+00 -4.500000e+00   
   56   6.250000e+00 -2.500000e+00   
   57   7.625000e+00 -1.500000e+00   
   58   6.708333e+00 -2.000000e+00   
   59   5.791667e+00 -3.000000e+00   
   60   5.333333e+00 -4.000000e+00   
   61   7.166667e+00 -1.500000e+00   
   62   5.333333e+00 -3.500000e+00   
   63   9.000000e+00 -1.000000e+00   
   64   8.541667e+00 -1.000000e+00   
   65   5.791667e+00 -2.500000e+00   
   66   6.250000e+00 -2.000000e+00   
   67   8.083333e+00 -1.000000e+00   
   68   4.875000e+00 -5.000000e+00   
   69   4.875000e+00 -4.500000e+00   
   70   5.333333e+00 -3.000000e+00   
   71   6.708333e+00 -1.500000e+00   
   72   7.625000e+00 -1.000000e+00   
   73   4.875000e+00 -4.000000e+00   
   74   4.875000e+00 -3.500000e+00   
   75   5.791667e+00 -2.000000e+00   
   76   7.166667e+00 -1.000000e+00   
   77   5.333333e+00 -2.500000e+00   
   78   6.250000e+00 -1.500000e+00   
   79   9.000000e+00 -5.000000e-01   
   80   8.541667e+00 -5.000000e-01   
   81   4.416667e+00 -5.000000e+00   
   82   4.875000e+00 -3.000000e+00   
   83   8.083333e+00 -5.000000e-01   
   84   6.708333e+00 -1.000000e+00   
   85   4.416667e+00 -4.500000e+00   
   86   4.416667e+00 -4.000000e+00   
   87   7.625000e+00 -5.000000e-01   
   88   5.333333e+00 -2.000000e+00   
   89   5.791667e+00 -1.500000e+00   
   90   4.416667e+00 -3.500000e+00   
   91   4.875000e+00 -2.500000e+00   
   92   6.250000e+00 -1.000000e+00   
   93   7.166667e+00 -5.000000e-01   
   94   9.000000e+00  0.000000e+00   
   95   4.416667e+00 -3.000000e+00   
   96   8.541667e+00  0.000000e+00   
   97   3.958333e+00 -5.000000e+00   
   98   6.708333e+00 -5.000000e-01   
   99   3.958333e+00 -4.500000e+00   
   100   5.333333e+00 -1.500000e+00   
   101   8.083333e+00  0.000000e+00   
   102   4.875000e+00 -2.000000e+00   
   103   5.791667e+00 -1.000000e+00   
   104   3.958333e+00 -4.000000e+00   
   105   7.625000e+00  0.000000e+00   
   106   4.416667e+00 -2.500000e+00   
