  NODES_PER_ELEMENT
   1 9
   2 9
   3 9
   4 9
   5 9
   6 9
   7 9
   8 9
   9 9
   10 9
   11 9
   12 9
   13 9
   14 9
   15 9
   16 9
   17 9
   18 9
   19 9
   20 9
   21 9
   22 9
   23 9
   24 9
   25 9
   26 9
   27 9
   28 9
   29 9
   30 9
   31 9
   32 9
   33 9
   34 9
   35 9
   36 9
   37 9
   38 9
   39 9
   40 9
   41 9
   42 9
   43 9
   44 9
   45 9
   46 9
   47 9
   48 9
   49 9
   50 9
   51 9
   52 9
   53 9
   54 9
   55 9
   56 9
   57 9
   58 9
  END_NODES_PER_ELEMENT
  ELEMENTS
  33 70 98 95 69 85 96 82 67 83  
  34 145 120 116 143 133 115 129 144 130  
  35 98 124 118 95 111 122 107 96 109  
  36 167 145 143 164 156 144 153 165 155  
  37 187 167 164 180 177 165 172 184 174  
  38 202 187 180 190 195 184 186 197 189  
  39 218 202 190 206 210 197 198 211 204  
  40 233 218 206 226 224 211 214 227 219  
  41 245 233 226 243 238 227 234 244 235  
  42 220 239 243 226 229 242 234 222 230  
  43 220 226 206 196 222 214 200 209 212  
  44 148 169 149 138 159 158 142 141 151  
  45 124 148 138 118 137 141 126 122 132  
  46 43 25 44 49 34 35 48 47 38  
  47 64 43 49 71 54 47 60 66 58  
  48 69 71 49 44 68 60 48 57 59  
  49 91 64 71 93 77 66 81 89 78  
  50 71 69 95 93 68 82 92 81 80  
  51 116 91 93 119 104 89 106 114 102  
  52 93 95 118 119 92 107 117 106 105  
  53 206 190 173 196 198 181 185 200 191  
  54 118 138 149 119 126 142 134 117 128  
  55 116 119 149 143 114 134 146 129 131  
  56 143 149 173 164 146 161 168 153 157  
  57 180 164 173 190 172 168 181 186 176  
  58 149 169 196 173 158 182 185 161 170  
  END_ELEMENTS  
  COORDINATES  
   1   5.576271e+00  4.142097e+00   
   2   5.596336e+00  3.879968e+00   
   3   5.237288e+00  4.043713e+00   
   4   5.918040e+00  4.050847e+00   
   5   5.274632e+00  3.709090e+00   
   6   5.955384e+00  3.716224e+00   
   7   5.650960e+00  3.472852e+00   
   8   4.898305e+00  3.945328e+00   
   9   6.259808e+00  3.959596e+00   
   10   5.027090e+00  3.436822e+00   
   11   5.410112e+00  3.208281e+00   
   12   6.276706e+00  3.480085e+00   
   13   5.959419e+00  3.242998e+00   
   14   4.644068e+00  3.665362e+00   
   15   6.593993e+00  3.717172e+00   
   16   5.716337e+00  2.997716e+00   
   17   4.779547e+00  3.164553e+00   
   18   5.169264e+00  2.943711e+00   
   19   6.267878e+00  3.013145e+00   
   20   6.598028e+00  3.243946e+00   
   21   5.473256e+00  2.752434e+00   
   22   4.389831e+00  3.385396e+00   
   23   6.022563e+00  2.787151e+00   
   24   6.928178e+00  3.474747e+00   
   25   5.777248e+00  2.561157e+00   
   26   5.004812e+00  2.641706e+00   
   27   4.618157e+00  2.833869e+00   
   28   6.491502e+00  2.778484e+00   
   29   6.813991e+00  3.005404e+00   
   30   5.307787e+00  2.482325e+00   
   31   6.238686e+00  2.574082e+00   
   32   4.231503e+00  3.026031e+00   
   33   7.136480e+00  3.232323e+00   
   34   5.985870e+00  2.369681e+00   
   35   5.610762e+00  2.322945e+00   
   36   4.840360e+00  2.339702e+00   
   37   6.715127e+00  2.543823e+00   
   38   5.814746e+00  2.186482e+00   
   39   5.142318e+00  2.212217e+00   
   40   4.456768e+00  2.503184e+00   
   41   6.454810e+00  2.361014e+00   
   42   7.029954e+00  2.766861e+00   
   43   6.194493e+00  2.178204e+00   
   44   5.444276e+00  2.084732e+00   
   45   4.073176e+00  2.666667e+00   
   46   7.344781e+00  2.989899e+00   
   47   6.018730e+00  2.050020e+00   
   48   5.643622e+00  2.003283e+00   
   49   5.842967e+00  1.921835e+00   
   50   6.588122e+00  2.090421e+00   
   51   6.871756e+00  2.255909e+00   
   52   4.743551e+00  1.999665e+00   
   53   5.058799e+00  1.900901e+00   
   54   6.304489e+00  1.924933e+00   
   55   7.206496e+00  2.461288e+00   
   56   4.360409e+00  2.140187e+00   
   57   5.374046e+00  1.802137e+00   
   58   6.078703e+00  1.817592e+00   
   59   5.613481e+00  1.756194e+00   
   60   5.852917e+00  1.710251e+00   
   61   3.977266e+00  2.280709e+00   
   62   7.541236e+00  2.666667e+00   
   63   6.721435e+00  1.819829e+00   
   64   6.414485e+00  1.671662e+00   
   65   7.028384e+00  1.967996e+00   
